,,,,,,Team Totals,,,,,,,,,,,,,,,,,,Team Shooting,,,,,
Season,Team,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
2003-04,NOH,82,41,41,0.5,19830,2772,6605,2241,4939,531,1666,1454,1937,1091,2418,3509,1716,708,346,1228,1715,7529,0.42,0.454,0.319,0.751,0.505,0.46
2003-04,NYK,82,39,43,0.476,19880,2881,6513,2475,5398,406,1115,1374,1732,950,2543,3493,1695,608,391,1289,1897,7542,0.442,0.459,0.364,0.793,0.518,0.474
2003-04,SEA,82,37,45,0.451,19805,2939,6590,2216,4654,723,1936,1363,1782,907,2318,3225,1782,661,387,1188,1784,7964,0.446,0.476,0.373,0.765,0.54,0.501
2003-04,ORL,82,21,61,0.256,19830,2904,6768,2475,5520,429,1248,1474,2000,1003,2350,3353,1584,547,308,1123,1744,7711,0.429,0.448,0.344,0.737,0.504,0.461
2003-04,PHI,82,33,49,0.402,19855,2682,6260,2343,5268,339,992,1512,2009,941,2408,3349,1640,654,358,1307,1701,7215,0.428,0.445,0.342,0.753,0.505,0.456
2003-04,PHO,82,29,53,0.354,19730,2958,6671,2543,5469,415,1202,1392,1865,924,2406,3330,1586,734,383,1249,1862,7723,0.443,0.465,0.345,0.746,0.515,0.475
2003-04,POR,82,41,41,0.5,19980,2898,6467,2517,5365,381,1102,1263,1728,1040,2376,3416,1768,613,443,1213,1554,7440,0.448,0.469,0.346,0.731,0.515,0.478
2003-04,SAC,82,55,27,0.671,19780,3103,6711,2502,5213,601,1498,1626,2044,888,2492,3380,2152,710,325,1137,1586,8433,0.462,0.48,0.401,0.795,0.554,0.507
2003-04,SAS,82,57,25,0.695,19755,2842,6434,2434,5294,408,1140,1409,2069,1029,2669,3698,1676,661,537,1203,1667,7501,0.442,0.46,0.358,0.681,0.511,0.473
2003-04,TOR,82,33,49,0.402,19980,2654,6348,2193,5054,461,1294,1237,1650,830,2419,3249,1574,604,402,1164,1748,7006,0.418,0.434,0.356,0.75,0.495,0.454
2003-04,UTA,82,42,40,0.512,19780,2690,6172,2438,5386,252,786,1639,2196,1103,2272,3375,1671,583,494,1365,2096,7271,0.436,0.453,0.321,0.746,0.509,0.456
2003-04,WAS,82,25,57,0.305,19830,2758,6556,2325,5287,433,1269,1579,2211,1115,2392,3507,1537,733,406,1439,1712,7528,0.421,0.44,0.341,0.714,0.5,0.454
