,,,,,,,,,Goals,,,,,,,,,,,,,,,,,,
Season,Team,GP,W,L,T,OTL,PTS,G,PPG,SHG,SOG,PIM,GA,PPGA,SHGA,SA,OppPIM,PP%,PK%,PPO,PKO,GDiff,FOW,FOL,FO%,HIT,BL
2001-02,MDA,82,29,42,8,3,69,175,43,4,2142,1242,198,46,9,2253,1393,11.5,86.1,373,330,-23,,,,,
2001-02,BOS,82,43,24,6,9,101,236,39,14,2595,1444,201,45,5,2057,1243,13.8,87.1,283,349,35,,,,,
2001-02,BUF,82,35,35,11,1,82,213,50,7,2295,1201,200,41,6,2120,1311,13.3,86.5,375,304,13,,,,,
2001-02,CAR,82,35,26,16,5,91,217,63,4,2347,1010,217,54,11,2214,1304,16.1,83.7,391,332,0,,,,,
2001-02,CBJ,82,22,47,8,5,57,164,50,3,2046,1184,255,52,8,2469,1330,14,83,356,306,-91,,,,,
2001-02,CGY,82,32,35,12,3,79,201,55,10,2207,1574,220,66,5,2242,1564,15.1,81.5,364,356,-19,,,,,
2001-02,CHI,82,41,27,13,1,96,216,54,4,2271,1224,207,63,2,2077,1067,17.9,81.5,302,340,9,,,,,
2001-02,COL,82,45,28,8,1,99,212,62,7,2252,997,169,41,7,2177,1036,18,87,344,315,43,,,,,
2001-02,DAL,82,36,28,13,5,90,215,60,7,2335,947,213,59,8,2135,1078,17.1,81.5,350,319,2,,,,,
2001-02,DET,82,51,17,10,4,116,251,73,9,2538,1045,187,48,7,2159,1056,20.3,86,359,343,64,,,,,
2001-02,EDM,82,38,28,12,4,92,205,51,12,2256,1261,182,50,7,2120,1223,15.3,85.6,333,348,23,,,,,
2001-02,FLA,82,22,44,10,6,60,180,50,8,2205,1978,250,76,7,2666,1810,14.7,80.7,341,393,-70,,,,,
2001-02,LAK,82,40,27,11,4,95,214,73,5,2110,1332,190,49,6,2051,1283,20.7,86.6,353,366,24,,,,,
2001-02,MIN,82,26,35,12,9,73,195,55,11,1954,1195,238,62,9,2296,1144,14.7,82.9,373,362,-43,,,,,
2001-02,MTL,82,36,31,12,3,87,207,45,7,2092,952,209,38,4,2597,1028,15,86.3,301,277,-2,,,,,
2001-02,NJD,82,41,28,9,4,95,205,44,2,2445,992,187,43,8,1900,970,16.9,83.8,261,265,18,,,,,
2001-02,NSH,82,28,41,13,0,69,196,48,6,2019,1051,230,50,8,2313,1096,14.2,85.9,337,354,-34,,,,,
2001-02,NYI,82,42,28,8,4,96,239,59,17,2319,1245,220,52,10,2285,1316,16.3,85.8,363,366,19,,,,,
2001-02,NYR,82,36,38,4,4,80,227,48,8,2392,1745,258,80,5,2618,1378,14.7,79.9,326,398,-31,,,,,
2001-02,OTT,82,39,27,9,7,94,243,55,11,2469,1333,208,48,5,2125,1358,16.6,84.4,331,307,35,,,,,
2001-02,PHI,82,42,27,10,3,97,234,39,8,2442,1226,192,40,10,2139,1287,13,86.3,300,293,42,,,,,
2001-02,PHX,82,40,27,9,6,95,228,53,8,2179,1138,210,60,6,2349,1198,15.6,83.1,340,356,18,,,,,
2001-02,PIT,82,28,41,8,5,69,198,47,5,2215,1232,249,57,10,2394,1152,14,83.8,335,352,-51,,,,,
2001-02,SJS,82,44,27,8,3,99,248,59,15,2228,1241,199,54,6,2335,1242,16,85.8,369,381,49,,,,,
2001-02,STL,82,43,27,8,4,98,227,62,5,2378,1317,188,56,7,1847,1272,17.4,85.2,356,379,39,,,,,
2001-02,TBL,82,27,40,11,4,69,178,46,6,2179,1052,219,40,9,2523,1046,14.7,85.3,312,273,-41,,,,,
2001-02,TOR,82,43,25,10,4,100,249,54,9,2339,1204,207,51,6,2044,1269,15.5,84.5,349,328,42,,,,,
2001-02,VAN,82,42,30,7,3,94,254,69,3,2326,1314,211,57,9,2078,1290,18.5,85,372,379,43,,,,,
2001-02,ATL,82,19,47,11,5,54,187,37,3,1984,1272,288,65,12,2911,1163,12.1,81.8,306,358,-101,,,,,
2001-02,WSH,82,36,33,11,2,85,228,58,2,2293,1037,240,58,8,2357,1078,19.4,82.2,299,325,-12,,,,,
2002-03,MDA,82,40,27,9,6,95,203,56,8,2246,934,193,42,5,2377,972,16.1,87.4,348,333,10,,,,,
2002-03,BOS,82,36,31,11,4,87,245,59,10,2636,1346,237,65,11,2322,1234,18.2,82.7,325,375,8,,,,,
2002-03,BUF,82,27,37,10,8,72,190,51,8,2345,1248,219,53,11,2296,1205,14.4,85.4,354,363,-29,,,,,
2002-03,CAR,82,22,43,11,6,61,171,58,6,2414,1192,240,71,9,2332,1321,13.8,81.9,420,392,-69,,,,,
